name,description,train_paraphrase,test_paraphrase
Bulbasaur,"A small, four-legged creature with blue-green skin dotted with darker patches. It has red eyes, pointed ears, and a short snout. A large green bulb sits on its back, from which two thin vines peek out, suggesting something alive and growing within.","The creature is small, four-legged and has pale blue-green skin with darker patches. It has pointed ears, red eyes, and a short snout. On its back are two thin vines that appear lifeless, suggesting something alive inside.","This is a small, four-legged creature with pale blue skin scattered throughout the darker patches. It has pointed ears, red eyes, and curved legs. A short snout punctures its long hair. On its back are two thin vines growing from whose tips suggest that something alive inside is present."
Ivysaur,"This sturdy, quadrupedal creature has blue-green skin with dark patches, red eyes, and pointed ears. A thick pink flower bud grows from its back, supported by a short trunk and wide leaves that give it a stocky, powerful appearance.","A strong, four-legged animal with dark patches on the skin of a thick, pink flower bud sprouting from its back, supported by slender trunk and broad leaves that give it flamboyant, stocky characteristics.","With long and sturdy claws, this creature stands out with its dark-colored skin, red eyes, and tipped toes. Next, it emerges from its elevated position on its hind legs, suspended by an upright trunk and broad leaves that give it a firm, alluring appearance."
Venusaur,"A massive, rough-skinned beast with bumpy blue-green skin and small red eyes. A giant pink flower with white spots blooms from its back, held by a thick brown stalk and surrounded by broad green leaves that resemble a tropical canopy.","A colossal creature with a rough complexion and flaccid blue-green skin. It also has tiny red eyes. A massive pink flower with white spots on its back, held by crinkly brown stalk and enclosed by broad green leaves that give it the appearance of clado verde.","An enormous creature with a rough complexion and flaccid blue-green skin and small red eyes. A colossal pink flower with white spots on its back, secured by ten thick brown stalks and encompassed by broad green leaves that give off ambiance of tropican rainforest."
Charmander,"A small, orange reptile that walks on two legs, with a pale underside and a rounded snout. It has sharp blue eyes and tiny fangs. Its most striking feature is a fiery flame flickering at the tip of its long tail.","The reptile is small, orange, walking on two legs, with a pale underside and rounded snout. It has sharp blue eyes and tiny fangs. Perhaps most strikingly is its long tail that flickers with flame at the tip.","Small orange-colored two-legged animal, pale underside and slightly round snout It has sharp blue eyes and tiny fangs A flick of fiery flame is at the tip of its long tail."
Charmeleon,"A sleek, red-scaled reptile with a cream underside and a hooked snout. Its piercing blue eyes and single horn-like crest give it an intense look. Its tail ends in a blazing flame that flares with its mood.","The reptile is a slim, red-scaled creature with rounded tips, curved shoulders, and snout. Its single horn-like crest and striking blue eyes make it stand out in the sun. When it finishes its journey, its tail will emit blazing flames that reflect its mood.","It is a large, red-scaled snake with sweeping shoulders, rounded neckline and hooked penis. Its single horn-like emblem and blue eyes give it an aura of heat. At the tail's end, there is another flame that flickers brightly in its direction."
Charizard,"A towering, dragon-like creature with an orange body, cream belly, and powerful wings with blue-green undersides. Its long neck and horned head add to its fearsome appearance. A blazing tail and sharp claws complete its intimidating, sky-dwelling form.","This creature is a formidable, dragon-like figure with imposing proportions. Its orange body, cream belly, and wingspan are impressively long and blue-green. Additionally, it has horned head and long neck, as well as blazing tail and claws that add to its intimidating appearance.","The dwarves are a formidable, dragon-like creature with an orange body, curved shoulders, cream skin, and wings that have blue-green undersides. Its long neck and horned head are both impressive. A tail that is hot as lightning and its sharp claws complete its intimidating appearance."
Squirtle,"A small turtle-like creature with light-blue skin, big purplish eyes, and a curled tail. Its sturdy brown shell has a pale yellow underside and thick white edging, giving it a tough, playful look.","A tiny turtle-like creature with a light-blue complexion, sizable purplish eyes, and curved tail. Its sturdy brown shell has accumulated globules on its underside, which are now covered in contrasting white paint, creating an aggressive and playful appearance.","The small, turtle-like creature has large purplish eyes and a curled tail. Its sturdy brown shell has pheromone patches on its underside and thick white bordering, giving it ferocity."
Wartortle,An indigo turtle-like creature with brown eyes and feathery ears covered in light-blue fur. It sports a sturdy shell with a pale underside and a large fluffy tail that curls dramatically behind it.,"This is an indigo-colored turtle with brown eyes, feathers and light-blue fur. It has a hard shell with shedding skin on the underside along with large fluffy tail that curls abruptly in front of it.","With an indigo color, this tortoise-like creature has brown eyes and feathers covered in light-blue fur. It has a hard shell with contrasting undersides and tufts of fluffy tail that curl abruptly behind it."
Blastoise,"A large, blue-skinned turtle with a massive brown shell and cream underside. Two water cannons jut from its back, and it has small brown eyes, strong limbs, and clawed hands that hint at brute force.","A tortoise with a large blue shell and cream underside. It is massive, has two water cannons at its back, small brown eyes, powerful limbs, and clawed hands that suggest force.","This turtle is a large, blue-tipped creature with oversized brown shell and cream underside. It has two water cannons on its back, small brown eyes, powerful limbs, and clawed hands that suggest force."
Caterpie,"A small green caterpillar with a yellow belly and teardrop-shaped tail. Bright yellow rings mark each body segment, and a vivid red antenna sprouts from its head, giving it a bold, slightly comical look.","The caterpillar is a small green insect with yellow belly and rounded tail, with bright yellow rings around each body part and bright red antenna emerging from its head, giving it 'something different' look.","A tiny green insect with a yellow belly and rounded tail, with bright yellow rings around its body parts and an impressive red antenna emerging from its head, which gives it 'something different' and makes it look slightly amusing."
